通知人,标题,日期,链接
教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,"
2025-06-03
         ",../info/1036/14095.htm
实践科,关于公布第十一届桥梁设计大赛获奖名单的通知,"
2025-05-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092
实践科,关于公布第九届网络信息安全竞赛获奖名单的通知,"
2025-05-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091
质量办,关于举办福州大学第七十一场“教学有道”研讨活动的通知,"
2025-05-29
         ",../info/1040/14090.htm
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,"
2025-05-28
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089
实践科,关于开展大学生校外实践教学基地抽检工作的通知,"
2025-05-28
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14086
教学运行,关于2025年端午节放假课程调整的通知,"
2025-05-27
         ",../info/1036/14084.htm
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2025-05-27
         ",../info/1036/14081.htm
质量办,关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-26
         ",../info/1040/14076.htm
实践科,福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,"
2025-05-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075
教学运行,关于2024-2025学年第二学期《工程制图C（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,"
2025-05-22
         ",../info/1036/14072.htm
实践科,关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,"
2025-05-21
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070
综合科,关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,"
2025-05-20
         ",../info/1035/14068.htm
